Name,Address,Phone
Rocco's Neighborhood Pizza,6335 Wilshire Blvd,(323) 655-0058
Mauro's Restaurant,8112 Melrose Ave,(323) 653-7970
Dinah's Family Restaurant,6521 S Sepulveda Blvd,(310) 645-0456
Canele,3219 Glendale Blvd,(323) 666-7133
Fish Grill,7226 Beverly Blvd,(323) 937-7162
Tacos Baja,5385 Whittier Blvd,(323) 887-1980
Maria's Italian Kitchen,10761 W Pico Blvd,(310) 441-3663
TGI Fridays,6721 La Tijera Blvd,(310) 337-1143
Marouch Restaurant,4905 Santa Monica Blvd,(323) 662-9325
Divino,11714 Barrington Ct,(310) 472-0886
Amalfi Restaurant and Bar,143 N la Brea Ave,(323) 938-2504
The Boiling Crab,3377 Wilshire Blvd Ste 115,(213) 389-2722
The Main Course,10509 W Pico Blvd,(310) 475-7564
The Cellar,1880 Century Park E,(310) 277-1584
Fathers Office,3229 Helms Ave,(310) 736-2224
Sor Tino,908 S Barrington Ave,(310) 442-8466
Aki Restaurant,11513 Santa Monica Blvd,(310) 479-8406
Pipers Restaurant,222 N Western Ave,(323) 465-7701
Tamayo,5300 E Olympic Blvd,(323) 260-4700
Humble Potato,8321 Lincoln Blvd,(323) 989-2242
Cork Bar & Grill Restaurant,4771 W Adams Blvd,(323) 731-2030
Post & Beam,3767 Santa Rosalia Dr,(323) 299-5599
Angelini Osteria,7313 Beverly Blvd,(323) 297-0070
Carlitos Gardel,7963 Melrose Ave,(323) 655-0891
Vincenti Restaurant,11930 San Vicente Blvd,(310) 207-0127
Berri's Pizza Cafe,8412 W 3rd St,(323) 852-0642
Veggie Grill,8000 W Sunset Blvd,(323) 822-7575
The Stand - American Classics Redefined,2000 Avenue Of The Stars,(310) 785-0400
The Good Pizza,7929 Emerson Ave,(310) 215-1883
Headlines Diner & Press Club,10922 Kinross Ave,(310) 208-2424
Pastina Restaurant,2260 Westwood Blvd,(310) 441-4655
Vinoteque,7469 Melrose Ave,(310) 860-6060
Don Chuy's Restaurant,11707 Washington Pl,(310) 398-9606
Corner Bakery Cafe,1019 Westwood Blvd,(310) 824-1314
Atlacatl Restaurant,301 N Berendo St,(323) 663-1404
Santino's Restaurant,1253 Vine St Ste 9,(323) 464-8260
Renaissance Restaurant,5930 Franklin Ave,(323) 960-3100
Fish Grill,9618 W Pico Blvd,(310) 860-1182
Western Smoke House,10640 Woodbine St,(310) 837-3544
Bel Air Bar & Grill,612 N Sepulveda Blvd,(310) 440-5544
Sansui Restaurant,2040 Hillhurst Ave,(323) 660-3868
El Salsabor Restaurant,522 S Lorena St,(323) 266-1400
El Asador Restaurant,1225 Venice Blvd,(213) 387-8220
Upstairs 2,2311 Cotner Ave,(310) 231-0316
The Hart and the Hunter,7950 Melrose Ave,(323) 424-3055
Fuddruckers,10250 Santa Monica Blvd,(310) 277-7756
Fred 62,1850 N Vermont Ave,(323) 667-0062
WP24,900 W Olympic Blvd,(213) 743-8824
California Pizza Kitchen,1001 Broxton Ave,(310) 209-9197
Industriel,609 S Grand Ave,(213) 488-8020
Ciro's Restaurant,705 N Evergreen Ave,(323) 269-5104
Breadsticks Restaurant,8570 W 3rd St,(310) 271-0498
Orchid Bar|Kitchen,819 S Flower St,(213) 784-3048
Franklin & Company,5923 Franklin Ave,(323) 463-1552
Javan Restaurant,11500 Santa Monica Blvd,(310) 207-5555
Fabrocini's-Beverly Glen,2960 N Beverly Glen Cir,(310) 475-7404
Taix French Restaurant,1911 W Sunset Blvd,(213) 484-1265
Picca,9575 W Pico Blvd,(310) 277-0133
New Battambang Restaurant,648 New High St,(213) 620-9015
Zermeno's Restaurant,6115 Santa Monica Blvd,(323) 467-1202
Pastina Restaurant,2260 Westwood Blvd,(310) 441-4655
Vinoteque,7469 Melrose Ave,(310) 860-6060
Don Chuy's Restaurant,11707 Washington Pl,(310) 398-9606
Corner Bakery Cafe,1019 Westwood Blvd,(310) 824-1314
Atlacatl Restaurant,301 N Berendo St,(323) 663-1404
Santino's Restaurant,1253 Vine St Ste 9,(323) 464-8260
Renaissance Restaurant,5930 Franklin Ave,(323) 960-3100
Fish Grill,9618 W Pico Blvd,(310) 860-1182
Western Smoke House,10640 Woodbine St,(310) 837-3544
Bel Air Bar & Grill,612 N Sepulveda Blvd,(310) 440-5544
Sansui Restaurant,2040 Hillhurst Ave,(323) 660-3868
El Salsabor Restaurant,522 S Lorena St,(323) 266-1400
El Asador Restaurant,1225 Venice Blvd,(213) 387-8220
Upstairs 2,2311 Cotner Ave,(310) 231-0316
The Hart and the Hunter,7950 Melrose Ave,(323) 424-3055
Fuddruckers,10250 Santa Monica Blvd,(310) 277-7756
Fred 62,1850 N Vermont Ave,(323) 667-0062
WP24,900 W Olympic Blvd,(213) 743-8824
California Pizza Kitchen,1001 Broxton Ave,(310) 209-9197
Industriel,609 S Grand Ave,(213) 488-8020
Ciro's Restaurant,705 N Evergreen Ave,(323) 269-5104
Breadsticks Restaurant,8570 W 3rd St,(310) 271-0498
Orchid Bar|Kitchen,819 S Flower St,(213) 784-3048
Franklin & Company,5923 Franklin Ave,(323) 463-1552
Javan Restaurant,11500 Santa Monica Blvd,(310) 207-5555
Fabrocini's-Beverly Glen,2960 N Beverly Glen Cir,(310) 475-7404
Taix French Restaurant,1911 W Sunset Blvd,(213) 484-1265
Picca,9575 W Pico Blvd,(310) 277-0133
New Battambang Restaurant,648 New High St,(213) 620-9015
Zermeno's Restaurant,6115 Santa Monica Blvd,(323) 467-1202
